Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Argentina,ARG,1968,,-2.8233528,11.349451,,2.0840645,,17.862368,
Argentina,ARG,1969,,19.728672,-0.37404895,,3.7790895,,-10.310566,
Argentina,ARG,1970,,28.506683,13.009203,,-9.602774,,15.921879,
Argentina,ARG,1971,,-12.327099,7.956815,,6.488645,,-0.70507526,4.8876166
Argentina,ARG,1972,,-15.823311,12.217259,,-0.44349432,,-2.8135717,28.880215
Argentina,ARG,1973,,9.769953,13.794052,,0.6999254,,99.476715,-21.120209
Argentina,ARG,1974,,24.528969,5.8440804,,-0.04763007,,66.63153,1.7224908
Argentina,ARG,1975,,-2.6634812,2.4590135,142.95366,-5.327487,,4.006517,4.896617
Argentina,ARG,1976,,1.1436582,12.555552,2.185142,3.1734228,,-3.462565,-4.7316194
Argentina,ARG,1977,,-5.4462376,4.442239,-36.353035,5.319059,,14.992881,4.987514
Argentina,ARG,1978,,21.89846,-2.741021,76.90898,-2.7359068,,34.331776,-0.047272444
Argentina,ARG,1979,,-6.83738,2.8182745,-7.044196,7.596004,,37.56858,48.475204
Argentina,ARG,1980,,-10.855222,8.979214,-13.075781,-7.150793,,42.07567,4.2469025
Argentina,ARG,1981,,-5.2413106,4.5099735,20.341885,-6.199795,,-3.0122817,-12.118668
Argentina,ARG,1982,,1.0000348,13.609958,-33.59375,-4.863328,,19.79872,32.125984
Argentina,ARG,1983,,-9.245318,7.5237274,82.08556,1.4092803,,4.6970487,34.792564
Argentina,ARG,1984,,-25.772207,6.453812,36.29955,-4.8939466,,7.923317,-25.802225
Argentina,ARG,1985,,47.519505,2.1697521,24.24047,-7.0736704,,3.9000988,4.3638825
Argentina,ARG,1986,,14.243388,8.057463,-0.95386505,5.135858,,1.8259883,3.3196807
Argentina,ARG,1987,,10.985923,0.057804585,13.202596,6.7412257,,4.195249,-14.52046
Argentina,ARG,1988,,2.4753332,16.811096,-10.317099,0.66803694,,-30.363346,16.01622
Argentina,ARG,1989,,8.207882,5.044508,-13.090717,-8.20359,,-13.577109,-13.7927475
Argentina,ARG,1990,,-17.692263,-4.4726906,44.492958,-6.642169,,34.318996,25.490452
Argentina,ARG,1991,,-12.001496,1.8235564,6.5238237,4.4777393,,-10.409885,-1.5138209
Argentina,ARG,1992,,12.730682,8.131659,-8.70294,5.176246,,20.768702,-0.7802367
Argentina,ARG,1993,,-33.679497,5.5953503,9.4478245,-1.9548118,,24.018753,-26.149637
Argentina,ARG,1994,,-12.452078,2.7978063,6.2580585,5.541301,,14.802778,3.1348586
Argentina,ARG,1995,,4.9404144,11.298966,-14.195501,-0.74642897,,-2.8695166,20.212973
Argentina,ARG,1996,,4.7566295,14.746201,5.5618525,0.10305643,,-15.212965,87.38691
Argentina,ARG,1997,,-21.103918,-7.8463135,6.7301273,5.9618115,51.71553,24.266005,-19.846647
Argentina,ARG,1998,,34.428764,6.9025874,-6.3811064,2.9008746,123.005745,-5.189538,15.738964
Asia,,1991,0,3.8972378,5.870557,6.8011165,3.4654856,269.1146,1.1020541,2.072084
Asia,,1992,287.5,3.1657815,6.4264655,2.6618123,5.8330774,79.49715,0.72603226,1.3306499
Asia,,1993,83.87097,4.58858,-0.44353604,10.814131,3.8789153,40.341713,11.143791,-0.9507477
Asia,,1994,26.315773,4.7657013,8.061838,6.753814,5.229461,86.56656,-0.7646799,18.58871
Asia,,1995,37.528072,1.5389323,6.2407374,10.242391,5.4780364,92.809845,7.952678,20.192123
Asia,,1996,46.557163,4.1959524,7.010126,5.6277394,4.294014,-12.355417,-0.6647408,1.6059995
Asia,,1997,60.37003,0.14145374,5.1342964,6.3797116,4.7262907,22.416042,-0.39191246,12.851727
Asia,,1998,43.787395,-0.18302798,4.418206,4.0555,-1.9211352,21.919346,6.002581,6.5884113
Asia,,1999,46.82542,2.4672866,7.937777,1.6809106,3.166151,39.216972,-2.5913239,9.742414
Asia,,2000,55.387188,3.9324522,5.477524,2.8483868,3.530848,17.385483,3.0001283,9.759712
Asia,,2001,45.220436,4.720831,6.4608574,1.3039947,1.0416865,34.326756,7.938218,2.2836208
Asia,,2002,39.046192,7.7151775,5.7659984,2.5522947,2.6417375,8.428574,3.5812855,3.2647371
Asia,,2003,36.657368,14.476263,7.052684,-11.032856,4.0379405,32.38945,3.9114356,4.3516517
Asia,,2004,32.036625,12.519562,7.4558616,14.73707,6.087601,77.37813,17.789686,5.7668447
Asia,,2005,27.153133,13.678861,7.628,4.4038653,1.0544538,25.787651,3.6173463,11.950445
Asia,,2006,24.044085,7.8778267,6.064439,2.6445389,2.611971,56.651733,10.061825,7.5983167
Asia,,2007,19.949162,8.663118,7.8725457,-4.073185,3.159678,32.832016,4.97545,10.953129
Asia,,2008,21.273983,2.7769804,6.908214,-2.915293,1.2725353,52.936016,13.470184,12.512768
Asia,,2009,29.20432,3.3156872,2.8296232,4.617262,0.80810785,55.34558,-2.8522372,12.557375
Asia,,2010,42.070545,4.791653,9.917963,5.313742,5.903876,53.850567,15.1767845,14.67514
Asia,,2011,76.60194,7.5729847,7.322383,-17.021269,2.8681993,41.23349,1.2449265,9.965599
Asia,,2012,50.552868,2.4675727,5.184734,-28.63611,4.4670343,30.84923,13.192272,8.637738
Asia,,2013,87.70833,2.051115,2.6083112,1.1643887,1.8209577,28.39409,7.9986215,11.032438
Asia,,2014,102.968506,1.9527197,4.069209,7.752776,1.6587615,14.08242,9.185386,15.466809
